userName,score,at,content
ariv tuwingkuncoro,1,2024-03-22 22:49:34,"Lagi check barang tiba2 g bisa dipakai buat penyelesaian, setelah di check blokir permanen dg alasan isu keamanan wkwkwk, g ada angin gak ada hujan, tahu2 gitu aja, maksudnya aplikasi kalian yg gak aman atau gimana ini sih, tau gitu dari awal gak usah acc biar belanja g pakai app kalian, apalagi pihak kalian yg dulu nelpon nyuruh pakai kredivo, sekarang? Buang2 waktu sama rugi biaya tambahan. Uninstall."
Nana Wardiana,5,2024-03-22 20:56:12,"Aplikasi sangat membantu dan terpercaya,memang kredivo beda dari aplikasi pinjaman lain,ketika tlt byr hanya butuh pelunasan saja,dan pinjaman kembali bisa di cairkan.trimakasih kredivo"
Ardi Firdiana,5,2024-03-22 20:52:14,Mau tanya kenapq yah akun saya tidak bisa d pakai dengan alasan keamanan transaksi Padahal sudah lunas hanya karna awal nya scoe B turun jadi D gara gara telat 3minggu ketika sudah d lunasi malah ga bisa d pakai udh hampir sebulan
Agus Ropiudin,1,2024-03-22 20:01:37,Akun saya bukan ditangguhkan Aku saya ditangguhkan awal nya saja setelah lunas pembayaran.tanpa telat bayar sehari pun.langsung di blokir permanen.setelah lunas.mau laporan juga jawaban nya tetep sama mohon maaf kk sudah ketentuan team analisis...bintang satu ajj udah bagus ...tanpa ada kejelazan kesalahan dimana pelangaran nya dimana dari segi apa.padahal bayar tepat waktu sebelum jatuh tempo malah.tapi langsung diblokir permanen.
Dara Fitria,2,2024-03-22 19:57:14,"Tolong dong keedivo,saya sudah bayar tagihan dan tidak pernah telat kenapa tidak masuk pembayaran nya,.malah sekarang kena denda keterlambatan ."
Zaenal Achmad,1,2024-03-22 15:15:30,"Saya ubah dr Bintang 5 jadi bintang 1, Pihak kolektor yg nelpon tidak punya atitud sama sekali,nagih tanpa permisi, salam dulu atau apalah,jgn langsung tanya bayar pake cara apa!Saya termasuk kreditur yg lancar bayar,tp klo nagihnya seperti ini,saya gak terima,saya hanya lupa blm buka lagi apk kredivo,ditagih seolah olah udah nunggak 14 hari,padahal BARU MASUK TGL JATUH TEMPO! Ngingetin boleh,tapi etika tetap harus dijaga.Mau nurunin kelas & poin setelah saya komen ini,silahkan!"
Rahmat 49,4,2024-03-22 14:59:22,"Kenapa saya kurangi 1 bintang. Bukan berarti tanpa alasan.Pertama saat team me nelpon saat jatuh tempo tidak sopan,dan tdk sesuai SOP.Seharusnya klo kalian bersikap demikian lihat list pembayaran di system.kredit macet/lancar.Bahkan bodoh nya sudah dibayar masih di ingat kan harus bayar.sebelum memberikan peringatan dalam hal menagih, cek terlebih dahulu."
Supendi 110474,5,2024-03-22 14:33:26,Terimakasih kredivo.. Yang sudah membantuku selama ini... Proses cepat dan pencairan tunai pun cepat.. Smga bisa dipertahankan dan jadi lbh baik lagi
Abdurahman,5,2024-03-22 14:31:06,"Aplikasi sangat rekomendasi, pokok nya mantap, bagus tuk jenis paylater dan fitur lain nya, semoga tambah sukses ya kredivo,,dan tolong dibantu kak, tuk upgrade ke premium nya, agar di ACC ke premium nya,,,👃👃👃😊😊😊"
Muhammad RezaIndrianto,1,2024-03-22 14:24:55,"Awal awalnya bagus makin kesini semua transaksi dikredivo nga bisa dan kredivo score kredit malah turun sendiri, jadi nga bisa digunain lagi aplikasi kredivonya"
ManuLLang 86,2,2024-03-22 14:13:21,Untuk saat ini bintang 2.. Soalnya kalau mau transaksi gak bisa alasan keamanan akun.. Sementara saya tidak pernah telat pembayaran.. 🙏🙏🙏🙏
Ferry Priyadi,1,2024-03-22 13:55:18,"aplikasi yang sangat buruk, proses penyelesaian masalah yang sangat lama, setiap melakukan pengaduan lewat email ataupun lewat chat, jawabannya seperti robot, yang hanya memberikan jawaban seperti kata kata template. aplikasi yang sangat merugikan pengguna."
jumakir 08,5,2024-03-22 13:21:06,Kredivo cukup membantu lah di saat seperti ini apalagi pas mau bayar spp sekolah sipplah mudah2an lancar kedepanya amin dan pakai kredivo semakin mudah untuk transaksi apa saja dan kalau bisa untuk cicilan pinjaman tunainya diperpanjang sampai 12 bulanterima kasih kredivo.kredivo semakin ke depan semakin mudah.semoga kredivo kedepanya semakin mempermudah dalam segalanya.
CASTLE BALI,1,2024-03-22 13:06:59,"Kadang bisa dipakai kadang tidak bisa, alasan karena masalah keamanan.pas saat lagi belanja transaksi gagal.akhirnya bayar pakai uang kas ke kasir.akhirnya saya lunasin saja semua uang yg saya pinjam dikridivo.habis itu saya hapus apk, nyesel!"
Irene Martiana,5,2024-03-22 12:39:21,"Kredivo seperti nya sedang menarik pelanggan baru, sedangkan pelanggan lama dengan kualitas kredit baik diabaikan. Saya ubah bintang 5 nya jadi 1 yaa semoga kedepan nya bisa diperbaiki lg."
Ryo Nugros,3,2024-03-22 12:02:06,"Maaf saya turunin, ketika memakai 12 bulan limit 3 bulan terpotong jauh. Sama saja limit kecil. Dan tanggal penagihan makin turun tiap bulan nya sama aja itungnya pakai hari."
wayan bima,5,2024-03-22 09:45:16,Dulu pernah gagal daftar ga ada alasan jelas. Sekarang iseng coba ternyata bisa.. soalnya mau beralih ke kredivo karena bunga nya bersaing.. di banding yang lain...
Tari Indriani,5,2024-03-22 07:43:10,"Lancarr selalu kredivoo aplikasi nya pertahanin yah atas kelancarannya ,, sama satu penaikan limitnya percepat dong untuk yg bayar nya lancar ,"
ekivia Setyani,5,2024-03-22 07:14:15,Terimkasih kredivo untuk penambahan limitnya utk akun saya ....kredivo is the best...selain prosesnya cepat kredivo sangat sangat membantu...sukses selalu untuk iredivo kedepannya
Kumpulan Do'a,2,2024-03-22 06:25:24,"Sekarang pinjaman tenor tidak ada yang 12 bulan, dan limit pinjaman juga semakin kecill, coba kembalikan lagi tenor cicilan sampai 12-24 bulan. Sangat kecewa kalau cuma 6bulan saja."
Teti Hernawati,3,2024-03-22 06:18:01,Mf kasih 3bintang dulu soalnya limit ga bisa digunakan pdhl pembayaran lancar.. limit sudah ada 7jt tp masih belum bisa dipake lagi pdhl pembayaran selalu tepat waktu
Azmi Rabbani,1,2024-03-22 06:03:14,"Secara berskala udah limit ada akun aktif terus kenapa gk bisa juga tranksaksi Terus buat apa saya belanjain terus di kredivo dari limit 500k sampai sekarang udah 8,2 juta Buat apa sekarang gk bisa di pakai cuba Mengecawakan banget giliran lagi butuh gk bisa di pakai!!"
Dicky Daffa,5,2024-03-22 05:04:58,"Pengajuan pinjaman sangat mudah,cepat kurang dari 1 menit dana langsung masuk ke rekening saya,terima kasih kredivo akun saya bisa terupgrade otomatis."
Heri Mukhidin,5,2024-03-22 04:21:34,"Sangat membantu, dari pinjol yg lain saat ini kredivo bunganya masih yg terkecil.. Tapi sayang, saya sudah akun kelas elite tapi pilihan tenor masih 6 bulan, untuk 12 bulannya blm tersedia,, padahal pinjaman selalu beres"
Yuni Wulandari,3,2024-03-22 03:18:50,mengajukan upgrade limit di tolak terus padahal sering belanja dan gak pernah telat saat bayar 2x pengajuan ditolak terus gak kayak aplikasi sebelah limit besar pengajuan naik limit langsung acc
R-D-X Studio,5,2024-03-22 02:54:39,"Fleksibel,membantu utuk pembelian pulsa hp dan listrik,dll Intinya jika kita memakai jasa pembayaran cicilan atau payletter, Kita harus menyesuaikan kemampuan bayar kita dengan pengunaan limit saldo yg bijak,"
Ricky Tho,5,2024-03-22 02:47:37,"Sangat membantu, bunga wajar dan tenor lumayan panjang, Kredivo profesional lah dlm urusan financial..asal bisa jaga kredibilitas, insya Allah, sangat membantu👍👍"
Mr Vinnn,1,2024-03-22 02:40:53,"Pembayaran udah tepat waktu, tetap saja ngga bisa di pakai limit nya, belum pernah pinjaman aja udah susah pakai limit apalagi udah ada pinjaman, limit segitu gitu aja, padahal dari awal pake kredivo ini bayar tidak pernah telat selalu pas jatuh tempo, males ngasih bintang 5 kalo limit ngga naik di tambah ngga bisa di gunain, sistem macam apa orang jujur selalu bayar di persulit, giliran yang telat bayar atau ngga sama sekali selalu di kasih limit besar"
Truly Wahdini,5,2024-03-22 01:51:57,Kredivo sangat mbantulah hal uang mendesak..🤣 yg pnting diushain lancar byar kredivo.. kredivo bikin sistim yg bisa mau kita pilih bayar dulu...kadang blum jatuh tempo ada duit pengen mau bayar pinjaman kredivo dulu ee gak tau nya nyakut byar pulsa sklian......cerdik pula nko kredivo 🤣
Ahmad Rizal,5,2024-03-22 01:30:45,sangat membantu yg lagi membutuhkan usul saya pinjaman tunai tenornya di tambah kak jadi 12 bulan agar lebih ringan cicilannya sama pembayaran yg telat tapi sdh di bayar tolong agar bisa pinjam dana kembali. terima kasih. Mantaps... semoga makin jaya kredivo. sukses slalu. Puas kak. itu ada cicilan sampe 24 bulan kak di aplikasi saya nggak ada cuma 13 bulan.
Ajeng Nastiti,5,2024-03-22 01:10:17,"Ter the best best best selalu aman pakai kredivo , belanja apapun itu lebih mudah . Sukses terus . Bunga ringan banget . Sejauh ini kredivo tetep paling top . Semoga bisa lebih ringan lagi bunganya ."
Alfon Hendra,5,2024-03-22 00:53:11,"kredivo paling ok,dari semua fasilitas pinjaman yang ada Kredivo paling bagus , paling ramah pemberitahuan kalau mau jatuh tempo, dan saya selalu membayar ,dan bisa di ambil kembali , pengisian aplikasi nya gak ribet, limit kota naik kalo kita pembayaran tidak telat telat , pokok nya kredivo paling bagus , terima kasih udah mempermudah siklus keuangan saya ,ini baru namanya membantu ,semoga kredivo tetap ada"
Ujang Taufiq,2,2024-03-21 23:10:23,"Kecewa saa kredivo,padahal cicilan lunas ,tp transaksi tida isa maau apapun ga bisa, pas masuki pin tidak bisa ,sudah tlpon customer servis menunggu beberapa saat.padaal saya selaly bayarbahkan jauh dari jatuh tempo dah bayar. Cuma sekali ajj lewat 4 hari itupun langsungd bayar lunas ...kecewa bnget transaksi jauh dari limit ..limit 1'7 jt transaksi 50 rb ga bisa.beli pulsa tdk bisa..payah"
Rahmat Sopandi,1,2024-03-21 22:56:10,"Sangat mengecewakan, 7 bulan berturut turut semua pengajuan di tolak tidak ada tunggakanpun untuk pulsa tidak bisa, bintang 1 lebih cocok untuk anda karna tidak membantu sama sekali"
Ahmad Albar,2,2024-03-21 20:56:40,Udh 1bulan saya mencoba untuk menggunakan limitnya tetep aj ngk bisa digunakan. Dari pihak kredivo ngk bisa membantu sama sekali. Semakin ribet.scorkrdit saya turun gar gara aplikasi kredivo ngk bisa digunakan.
Fuji Muhammad,5,2024-03-21 18:04:54,Sebelum nya saya terkendala transaksi yg selalu gagal.. tapi sekarang udah bisa melakukan top up pinjaman . Hanya saja terkadang belum sampai limit ny habis sudah tidak di izinkan lagi melakukan pinjaman 🤕
Agus Soemarsono,1,2024-03-21 14:35:15,"Baru saja daftar malam coba gunakan.,tanpa ada penjelasan sama sekali tiba2 akun di blokir permanen.,iyasih itu hak kredifo.,dan kami cm pengguna.,tp kesanya kok semena2 setelah proses daftar yg sdh di lalui.,mudahnya blokir sepihak."
Indi Puspitasari,5,2024-03-21 12:15:48,"Sangat membantu, asal kitanya bayar cicilan lancar insha allah ditolong terus kalau mau pinjam selalu di acc. Kalau kitanya galbay skor kredit minus ya jangan harap dipinjami oleh kredivo :) sekian bye.."
Amad farhan,5,2024-03-21 11:24:25,"Sangat membantu untuk yang lagi butuh dana cepat proses mudah dan cepat...terimakasih kredivo awali dengan niat baik agar tidak jadi beban pinjemlah sesuai kebutuhan dan kemampuan,,semuanya akan baik baik saja terimakasi🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼"
sri sumarni,4,2024-03-21 08:24:28,Semua layanan nya baik..waktu juga baik.. penawaran penawaran baik...cuma.. platform nya belum tinggi dan tenor nya masih singkat
Fyas Kosasih,5,2024-03-21 08:12:49,utk masalah pinjaman di kredivo msh ok lah bunganya msh wajar dan termasuk kecil jika dibandingkan ma pinjol lain nya dan prosesnya termasuk cepet dan mudah jd bila ada perlu pendanaan yg mendesak kredivo bs di andalkan.
Suratni Ratni,5,2024-03-21 07:50:46,"Ok sangat membantu disaat lagi kebutuhan,, dan sangat mudah digunakan saat transaksi tidak ada keribetan apapun. Trimakasih kredivo"
Fathir Azfar,3,2024-03-21 07:11:44,"Aku turunkan bintangnya kam,sekian lama pakai kredivo TDK ada mslh,setelah pembayaran di tgl. 10 maret 2024 notifikasi dan riwayat transaksi saya banyak yang hilang.sudah coba cari jawaban tetapi responnya sangat lambat"
AP nine,1,2024-03-21 06:41:01,"Aplikasi Taikk, gua sering kaga telat bayar berkali-kali limit malah kaga di naikin, asalkan gua baru telat bayar 1 hari langsung di blokir permanen,. Mending dapet limitnya 800 ribu atau 1 juta,. Ini mah limitnya cuma 100K udah kaya Taiikk nih Aplikasi., nyesel GUA bayar kalau tau di blokir permanen kaya gini, emang bener"" aplikasi Taiikk"
Tia Mufft,5,2024-03-21 05:04:51,"Aplikasi terbaik,dan bisa diandalkan. Udh dri tahun brp pake Divo, asal kita bayar tepat waktu fasilitas yang kita dpt jg bakalan gampang dikasih sama kredivo.. Thxyou Divo :D semakin tepat waktu bayarnya semakin naik limitnya tanpa mengajukan naik limit lho mksihhh Divo mantappp naikin terus limiitku ya divooo"
Sarmada Sumenep,5,2024-03-21 04:58:07,Terimakasi kredivo dengan adanya aplikasi ini sangat2 m embantu sekali dimana saja kita berada gk perlu repot2 kita carik konter terdekat untuk mengisi pulsa apapun disini bisa sekali lgi terimasi kredivo sukses slalu
irwanto umbu toku ngudang,5,2024-03-21 04:49:52,Kredivo terbaik. Proses nya mudah dan cepat pencairan nya Sangat Rekomended untuk pengguna baru.
Hetty Watulingas,5,2024-03-21 04:48:59,"Aplikasi sangat membantu meringankan perbelanjaan saya . Iya , karena aplikasi sangat bagus dan sangat sangat membatu saya . Terima kasih Kredivo"
dinna rosdiani,5,2024-03-21 04:45:31,"Hai kak Mimin...knp aku sy belum disetujui untuk pinjaman tunainya , padahal sudah 6 BLN menggunakan kredivo, limit belanja hanya 200 rb, dan setiap bulan selalu sy gunakan, dan pembayaranpun tepat waktu. Bolehkah sy tau kwndala dmn?"
Andri Saputra,3,2024-03-21 04:40:45,"Awal nya lancar"" aja pembayaran pun lunas, stlh mau lakukan transaksi lagi ga bisa terus transfer sementara waktu tidak bisa di lakukan pdhl limit tersedia blm di pakai lagi"
Jazira Alensya,1,2024-03-21 03:55:56,"Baru ini saya download aplikasi kredivo. Pas mau daftar ada notifikasi bahwa saya pernah daftar akun. Aneh , padahal baru ini saya mau coba daftar. Gak jelas aplikasi ini"
Hure Purwanto,5,2024-03-21 03:53:56,"Kak apakah bisa naik limited nya soal udah hampir 1 tahun limited nya stak di 1.500... Tolong dong kak tambahin limited nya sebelum jatu tempo sudah saya bayar terimakasih aplikasi sangat "" berguna"
muhammad maruf,1,2024-03-21 03:30:35,"Awas kredivo penipuan!!!, peminjaman uangnya gak cair, tpi cicilan tetep berlanjut. Hati-hati sama kredivo!!! Kalau pihak kredivo tidak berkenan melihat komen saya, silahkan pc email ini, dan kembalikan uang saya!!!!"
Evi Fitri Lestari,2,2024-03-21 02:45:56,"Kebiasaan nih kredivo, kalo top up di transaksinya berhasil tapi ga masuk, setelah di komplain malah nyuruh hubungi provider atau merchant nya sendiri. Lepas tanggung jawab banget, harusnya tanyain sm pihak kalian lah malah nyuruh customer yang beresin masalahnya sendiri. Kejadian ini bukan cuma sekali aja loh ya, reminder dan perbaiki deh"
Ade Rosadi,1,2024-03-21 01:42:40,"Maaf kasih bintang satu pembayaran tidak pernah telat dan tidak ada tagihan limit tidak bisa digunakan, masih tetap sama tidak bisa digunakan, udah sering buka malah diturunin score jadi C 🤦🤦🤦, sistem nya ga beres... Tolong aku kredivo setiap jatuh tempo kamu selalu mengirimkan aku email agar aku segera membayar tagihan, tapi setelah aku membayar nya limit aku tidak bisa aku gunakan padahal masih banyak, kenapa oh kenapa sungguh tega kamu kepada aku...., padahal aku selalu bayar🤦🤦🤦"
Syahrul Tazzuna Wijaya,5,2024-03-20 22:08:57,Membantu buat kebutuhan yg mendesak..cepat lagi proses nya. Sangat membantu sekali untuk urusaan urgent dan gak ribet...memmabntu sekali
Rosyid Rd,5,2024-03-20 21:37:08,"Langsung dapat limit 2jt400 untuk pengguna pertama, dan limit 6oorb, untuk belanja,.. Mudah dan cepat cair,.. 👍"
Agast Garut,5,2024-03-20 21:33:47,"terima kasih kredivo atas kepercayaan nya,kredivo slalu memberikan yg terbaik,di setiap ada kebutuhan dari kredifaz top up pulsa dll sekali lg terima kasih buat kredivo."
Ditya Satria,2,2024-03-20 21:24:20,"Saya turunkan bintang nya..nanti kalo sudah bisa digunakan kembali baru saya tambah lagi bintangnya..saya pengguna lama,dan bayar tagihan jauh sebelum jatuh tempo dan lunas,malah sekarang limit tidak bisa digunakan..kecewa"
smart mama04,5,2024-03-20 19:58:19,sangat membantu perputaran ekonomi saya.. dengan cara hati hati sekali menggunakan media aplikasi kredivo ini.. trimakasih .. semoga lancar dan sukses terus..
harry c,1,2024-03-20 17:49:21,"akun saya tipe PREMIUM!!! TAPI llimit belanja tidak bisa di pakai,dengan alasan keamanan akun.padahal angsuran rapi,bagus,sekalipun tidak pernah telat ..kredivo sangat tidak berguna dan tidak membantu sama sekali!! pelayanan sangat buruk!!! MENGECEWAKAN!!! aplikasi ga guna!!! Jangan pernah pakai KREDIVO!!! PEMBODOHAN !!!!"
Deny Yau,5,2024-03-20 17:03:14,"Sekian lama langganan sama kredivo , uda ga terasa uda mau 2 tahun, upgrade manual , akhirnya diterima kenaikan limit, semoga kredivo makin sukses n makin jaya.... Good"
Susi Lawati,5,2024-03-20 15:41:08,"Terima kasih kredivo,udah pendaftarannya mudah,ansurannya pun bisa kita atur,agar kita bisa ringan membayarnya,dimana lagi klu bukan di kredivo,semoga pembayarannya lancar tanpa ada kendala dalam pembayarannya nanti ya."
Indah Asih,2,2024-03-20 15:01:34,Saya kasih bintang 2 dlu ya soal y limit sya msih sisa lumayan banyak tpi kenapa tidak bisa d gunakan dengan alasan keamanan akun sementara tidak bisa d gunakan mau nunggu smpe kpn lama y biar bisa d pergunakan kembali limit sisa y
Fauzi Rohman,1,2024-03-20 15:00:04,semakin tidak jelas dari awal mau upgrade akun GK bisa bisa belum lagi rank nya selalu di B cuma karena ada tunggakan keterlambatan tidak bisa digunakan padahal sudah lunas dari setengah tahun yg lalu aneh nya sampe sekarang akun itu masih tidak bisa di gunakan notifikasi selalu muncul tapi setiap masuk tidak pernah bisa di pakai kalo emang gitu jangan mengirimkan email yang memberikan penawaran menarik kalau ujungnya akun tetap bisa di gunakan sudah berkali kali komplen jawabannya selalu sama!!
Uus Cahirenk70,5,2024-03-20 14:54:31,Begitu banyak aplikasi pinjaman..tp yg satu ini the best bett kapan kita perlu bisa langsung diatasi..Good Credivo
haryana yhana,5,2024-03-20 14:37:43,"kredivo aplikasi paling membantu no 1 di Indonesia, apapun serba bisa di kredivo. transaksi apapun cepat sekali. lebih percaya kredivo di banding aplikasi lain. the best 🤝"
Junita Lestari,1,2024-03-20 14:05:49,aneh padahal pembayaran ngga pernah telat tapi tiba tiba aja akun diblokir permanen sebelumnya setiap mau beli pulsa malah akun diamankan terus parah sih kredivo auto uninstal
dika kadarusman,5,2024-03-20 13:49:41,terima kasih kredivo... aplikasi tepat serta sangat membantu dengan waktu pembayaran yang sangat lama sesuai pilihan kita dengan bunga yang rendah...
Cindy Pelealu,1,2024-03-20 13:06:11,"Sangat disayangkan saya yang selalu tertib dalam membayar namun DI BLOKIR PERMANEN sama KREDIVO dg alasan yg tidak masuk akal,cicilan masih bulan depan sma 2bulan depan sudah saya bayar tapi malah di BLOK, TIDAK DI REKOMENDASI SAMA SEKALI."
Cazorla Avisha hendrawan,1,2024-03-20 12:03:21,Saya ada transaksi pakai q rish..tagihan sudah sudah masuk..tapi transaksi saldo tidak masuk di pihak merchant..saya sudah cari bukti jg d pihak merchant di bank ..sudah di kasik bukti .tapi pihak kredivo tidak mau tanggung jawab .pdhl d aplikasi kredivo ada notifikasi transaksi masih di proses silahkan hubungi customer service kredivo. Tapi pihak kredivo tidak mau tau.nominal saya cukup lumayan 1jt..saya tidak terima dana..tp saya d suruh bayar tagihan.. aplikasi apa ini..
Grany Kharisma,5,2024-03-20 11:28:40,"sangat puas dengan kredivo, meskipun bunga nya agak lumayan, tp sangat membantu saya. terima kasih kredivo.. semakin jaya dan sukses selalu.. di tambah lagi fitur lain juga boleh hehe.."
Yanensi Sumbung,5,2024-03-20 10:44:57,Sejauh ini semua pinjaman Lancar jaya...saran kalau boleh bunga pinjaman tunai di turunkan dan biaya administrasinya jangan sampai 6% dong biar pinjaman tidak terlalu banyak terpotong dan klu boleh tenor pinjamannya juga boleh di tambah...trimakasih
Dewa Arimazen,3,2024-03-20 10:40:51,"Sangat membantu,,limit saat ini terbatas,,,saya sudah mengajukan upgrade 3x ,,, ternyata blm bisa,,dan harus menunggu lagi 3bulan lagi ...saya kasih bintang 3 dulu"
Dirgantoro Kumoro,5,2024-03-20 10:36:49,"Saya sudah menggunakan aplikasi ini sudah lama sekali, coba aja di cek sudah belasan juta pembayaran melalui kredivo .. tapi saya sampai sekarang belum pernah mendapatkan benefit / keuntungan imbal balik nya .. apa saya harus mencoba berganti aplikasi pembayaran yang lain saja ya .."
Rustam Blendos,5,2024-03-20 09:50:39,"saya selalu menggunakan kredivo untuk pinjaman / transaksi Olshope karena lebih mudah dan untuk cicilan yg miring di bandingan platform yang lain, untuk saran saja untuk aplikasi pinjaman mending pilih aplikasi kredivo karna proses cepat dan cicilan lebih miring drpd aplikasi lain itu saja trimakasih"
John Fredy,1,2024-03-20 09:34:49,"Gak ada tunggakan gak pernah telat tiba2 akun diblokir permanen secara sepihak tanpa ada pemberitahuan lebih dahulu via email atau call, masih ada point yg tidak bisa digunakan"
Akhmad Fredy,5,2024-03-20 07:57:12,"Kredivo sangat membantu bngt disaat kita lagi membutuhkan dana n prosesnya cepat n sangat mengerti jika kita ada keterlambatan buat bayar,,, terimakasih banyak kredivo🙏🙏"
Mrs. Joe,5,2024-03-20 07:54:27,"aplikasi pinjol nomor 1 di indonesia.cepat responnya. gak sampai 1 menit. limitnya naik terus setelah pelunasan.hebat, Daebak, sukses selalu dan terima kasih"
Aba oeghy,5,2024-03-20 06:38:52,Angsuran eingan..Proses cepat..semoga aman..rekomended utk teman2. Senang pakai aplikasi ini..nyaman ..dan sangat membantu..sukses terus kredivo terus membantu kita semua..
nisom Rauf,5,2024-03-20 06:20:08,"Terimakasih kredivo,, sudah membantu dengan baik dan cepat tangap. Sangat bisa di butuhkan dalam keadaan Urgent."
May Saroh,4,2024-03-20 03:59:18,"Agak kecewa dengan kredivo,,,saya bayar tidak pernah telat,,tetapi akun saya di TANGGUHKAN,,,sudah hampir 3 bulan lebih,,,saya pun tidak bisa menggunakan aplikasi kredivo ini,,,tolong donk,,,kapan saya bisa menggunakan kredivo ini kalau sampai sekrng masih saja di tangguhkan tanpa kejelasan......!!!!!!"
Hendra Gunawan,5,2024-03-20 03:35:17,"Mudah digunakan & sangat terjangkau, mudah-mudahan dg kredivo 24 Bulan ini banyak bonusnya & limit terus ditingkatkan dg kenaikan limit yg sesuai dg catatan2 yg Baik agar bisa lebih banyak lagi untuk bertransaksi."
Tedy Irawan,3,2024-03-20 00:52:25,"Setelah di update, Untuk hp poco c40 gak bisa di buka aplikasinya, padahal internet bagus, sudah di reinstall juga masih tetap gak bisa di buka"
BANG OWENK CHANNEL,5,2024-03-19 23:33:21,Sedih krn score turun. Gak tau sebabnya apa. Kudu naikin lagi biar bisa gunakan bbrp fasilitas di kredivo. Banyak bonus dan voicher menarik yg akhirnya lewat batas.
Hanifah RahmaDhani,5,2024-03-19 23:30:56,Kata aku si bagus..cuma sayang limit nya misah² gk sekalian jadi satu di tempat yang 12 bulan aja kan biar enak bisa di pakai semuah..ini limit nya misah² jadi gk bisa di pake semuah....perbagus lagi untuk limit nya di naikan lagi kk.da klo bisa jadi satu sekalian biar bisa di pakai semuah naikan lagi limit nya kk🙏
Dhani Uswanas,3,2024-03-19 20:47:51,"kadang suka bingun sama kedivo, bayar cepat salah bayar terlambat juga salah. saya sdh bayar sblm jatuh tempo dan limitnya jg sdh di naikin ehhh pas mau di gunakan lagi katanya transaksinya tdak di setujui karna melanggar ketentuan penggunaan. saran dari saya tolong dari pihak kredivo, tolong di cek/di perbaiki lagi aplikasinya yaa......... makasih:("
Welli Gustam,4,2024-03-19 17:26:50,"Kredivo membuat kesulitan menjadi mudah! Tapi system saja yang di rasa kurang enak, di karenakan sering kali terjadi gagal transaksi😂. Untuk itu saran untuk developer pengembang aplikasi ini agar membenahi kesalahan pada saat transaksi, padahal kita sebagai pengguna sudah dengan benar mengikuti aturan yang di buat, untuk semua layanan memang bagus dan sangat membantu untuk hal dalam pinjamannya ataupun beberlanja😀"
Isikan ❷⓿❽⓿⓿❻❾ Bonus banyak,5,2024-03-19 16:45:16,"saya sangat senang dengan kecepatan dan efisiensi dari aplikasi kredivo, selain pengajuan limit yang mudah dan cepat aplikasi ini juga hanya memerlukan atau membutuhkan infomasi minimal dengan tingkat persetujuan yang sangat mengesankan dana nya juga bisa di cairkan hanya saja 5 menit saja saya sangat merekomendasikan aplikasi kredivo kepada siapapun yang membutuhkan pinjaman!"
Ahmad Gozali,5,2024-03-19 16:39:14,"Saya sangat terkesan sekali dengan aplikasi KREDIVO karna kesederhanaan dan efisiensi disamping proses pengajuan limit nya sangat cepat aplikasi KREDIVO juga mudah dan persetujuannya sangat cepat pokonya yg terbaik dari semuanya bagi kamu yg baru mau coba sangat disarankan yg ada di papan nama supaya proses pengajuan cepat disetujui, untuk semuanya bagus bunganya rendah, Terimakasih KREDIVO"
Al Fandi27,1,2024-03-19 16:27:42,"Jujur saya sangat kecewa dengan apk ini karena di saat-saat kepepet seperti ini malah di persulit lagi dengan di suruh menunggu 3 bulan lagi,, padahal saya sudah 3 kali bikin akun tapi selalu di tolak"
Gono Gono,5,2024-03-19 14:24:22,"Pinjaman nya nggak bisa ditambah kah ... Saya bayar selalu tepat waktu, tapi pinjaman nggak pernah ditambah... Udah 3 kali pinjam tapi tetap aja sama. mantap"
Seputar Fishing,1,2024-03-19 14:10:21,"Baru pertama buka kredivo , pengajuan pinjaman di tolak, katanya 3bulan lagi di suruh pengajuan ulang. Butuhnya sekarang kok di suruh pengajuan 3 bulan lagi. Ternyata pengajuan pinjaman di kredivo susah guys."
sofianti purba,5,2024-03-19 12:28:26,"saya sangat suka dengan aplikasi ini,selain gampang di daftar gampang juga cara pemakaiannya dan adminya sangat murah ,,terima kasih kredivo😍"
Ar rahmi Nur amaira,5,2024-03-19 12:10:59,"kredivo memang paling the best diantara semua aplikasi pinjol,sangat memudahkan pengguna x,baik pembayaran,pembelian,dan pinjaman tunai,dan selalu ada toleransi klo ada keterlambatan pembayaran,dan yg paling penting bungax sangat murah sekali,pembelian barang juga tnp DP bisa lgsng check out dan sangat murah walaupun dgn cicilan 3,6,9,12 bulan.. pkkx sng skali bisa menjadi pengguna kredivo,betul2 sangat memdhkn saya jika ada pembayaran atau mau beli barang tiba2.. pokok terlove2 deh dgn kredivo."
Stanley Effendi,5,2024-03-19 11:21:09,"Saya sangat terbantu dengan Aplikasi kredivo, pinjaman dan paylater yang bagus, simpel, gak ribet dan bunga lebih rendah di banding pinjol lain. Bisa cicil sampai 12 bulan, sangat membantu sekali. Saya rasa pinjol ini yang terbaik dari yg lain, Recomended ..."
